Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-01-15,RELIANCE,EQ,325.7,324.9,328.9,320.35,322.0,322.75,324.11,1655750,53664090080000.0,450961.0,0.2724,-2.1499999999999773,8.549999999999955,-0.009057414798894659,325.65,312.9275,9.619025486803926,325.7,4686848.0
2002-01-16,RELIANCE,EQ,322.75,325.1,326.5,316.1,320.8,320.25,320.59,1298119,41616140055000.0,282475.0,0.2176,-4.850000000000023,10.399999999999977,-0.0077459333849728695,324.03000000000003,313.48249999999996,9.709399610144175,322.75,1655750.0
2002-01-17,RELIANCE,EQ,320.25,317.0,322.95,315.55,319.05,318.7,319.66,1953116,62432685760000.0,869775.0,0.4453,1.6999999999999886,7.399999999999977,-0.004839968774395076,322.84000000000003,313.98249999999996,9.707637728260785,320.25,1298119.0
2002-01-18,RELIANCE,EQ,318.7,329.9,329.9,308.5,311.1,311.6,317.22,2320552,73612220530000.0,1073069.0,0.4624,-18.299999999999955,21.399999999999977,-0.022278004392845885,319.8,314.0475,9.68601100611189,318.7,1953116.0
2002-01-21,RELIANCE,EQ,311.6,313.0,315.7,311.0,312.5,312.4,313.57,1061274,33278143775000.0,341813.0,0.3221,-0.6000000000000227,4.699999999999989,0.0025673940949935137,317.14,314.15,9.655622850524628,311.6,2320552.0
2002-01-22,RELIANCE,EQ,312.4,312.0,318.8,309.05,313.1,312.6,314.7,1959952,61679621640000.0,321215.0,0.1639,0.6000000000000227,9.75,0.000640204865557159,315.11,314.245,9.629203115085556,312.4,1061274.0
2002-01-23,RELIANCE,EQ,312.6,312.0,316.9,310.75,314.95,314.65,314.64,1175520,36986157735000.0,450371.0,0.3831,2.6499999999999773,6.149999999999977,0.006557901471528904,313.99,314.6375,9.468408344539325,312.6,1959952.0
2002-01-24,RELIANCE,EQ,314.65,315.5,317.0,311.5,313.1,313.55,313.57,841987,26402074640000.0,353061.0,0.4193,-1.9499999999999886,5.5,-0.003495947878595196,312.96,315.2025,9.016687380395544,314.65,1175520.0
2002-01-25,RELIANCE,EQ,313.55,314.95,315.0,312.0,315.0,314.8,314.3,611098,19207023155000.0,229021.0,0.3747999999999999,-0.14999999999997726,3.0,0.0039866050071759584,313.6,315.84749999999997,8.459181791340244,313.55,841987.0
2002-01-28,RELIANCE,EQ,314.8,316.0,324.0,312.65,313.65,314.45,318.48,2349800,74837203100000.0,742140.0,0.3157999999999999,-1.5500000000000114,11.350000000000023,-0.0011118170266837257,314.01,316.26,8.159827784560118,314.8,611098.0
